rel_path	success	n_rec	vl_const_onset	flag
worker1/DishwasherRack/out-right/s0/j3/n1/base	0	144		OK
worker1/DishwasherRack/out-right/s0/j3/n2/base	0	144		OK
worker1/DishwasherRack/out-right/s0/j3/n3/base	0	144		OK
worker1/DishwasherRack/out-right/s0/j3/n4/base	0	144		OK
worker1/DishwasherRack/out-right/s0/j4/n0/base	0	144		OK
worker1/DishwasherRack/out-right/s0/j4/n1/base	0	144		OK
worker1/DishwasherRack/out-right/s1/j0/n1/base	1	45		OK
worker1/DishwasherRack/out-right/s1/j0/n2/base	1	39		OK
worker1/DishwasherRack/out-right/s0/j2/n4/base	0	144		OK
worker1/DishwasherRack/out-right/s0/j3/n0/base	0	144		OK
worker1/DishwasherRack/out-right/s0/j4/n2/base	0	144		OK
worker1/DishwasherRack/out-right/s0/j4/n3/base	0	144		OK
worker1/DishwasherRack/out-right/s1/j0/n3/base	1	37		OK
worker1/DishwasherRack/out-right/s1/j0/n4/base	1	36		OK
worker1/DishwasherRack/out-right/s0/j4/n4/base	0	144		OK
worker1/DishwasherRack/out-right/s1/j0/n0/base	1	31		OK
worker1/DishwasherRack/out-right/s1/j1/n0/base	1	41		OK
worker1/DishwasherRack/out-right/s1/j1/n1/base	1	70		OK
worker1/DishwasherRack/out-right/s1/j2/n1/base	1	49		OK
worker1/DishwasherRack/out-right/s1/j2/n2/base	1	43		OK
worker1/DishwasherRack/out-right/s1/j1/n2/base	1	40		OK
worker1/DishwasherRack/out-right/s1/j1/n3/base	1	45		OK
worker1/DishwasherRack/out-right/s1/j2/n3/base	1	42		OK
worker1/DishwasherRack/out-right/s1/j2/n4/base	1	42		OK
worker1/DishwasherRack/out-right/s1/j1/n4/base	1	37		OK
worker1/DishwasherRack/out-right/s1/j2/n0/base	0	144		OK
worker1/DishwasherRack/out-right/s1/j3/n2/base	1	68		OK
worker1/DishwasherRack/out-right/s1/j3/n3/base	1	94		OK
worker1/DishwasherRack/out-right/s1/j3/n0/base	1	56		OK
