plan_id	machine	grid_instruction	scene_idx	jitter_idx	noise_idx	jitter_reset_idx	base_lat	base_back	env_seed	inference_seed	sig	success	rel_path
77e745c37b0f	worker1	OvenRack/out-left	1	3	2	0	0.05	0.1	100754	1300002	cb630fc4c2480b3f	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n2/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	3	0	0.05	0.1	100754	1300003	6ebcddee6ee43d44	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n3/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	4	0	0.05	0.1	100754	1300004	43c86d9a16c8f0b3	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n4/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	5	0	0.05	0.1	100754	1300005	d67a3c18ef5b8d1e	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n5/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	6	0	0.05	0.1	100754	1300006	d1ccced47fd863ce	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n6/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	7	0	0.05	0.1	100754	1300007	fb06db7611e739a8	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n7/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	8	0	0.05	0.1	100754	1300008	93957cc69aedd3e0	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n8/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	9	0	0.05	0.1	100754	1300009	946346cc0f576a71	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n9/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	0	0	0.05	0.15	100754	1300000	ce29f41a8e2add58	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n0/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	1	0	0.05	0.15	100754	1300001	f76c1d1e88b0fbb9	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n1/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	2	0	0.05	0.15	100754	1300002	d3e5af4fe6bbb7c3	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n2/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	3	0	0.05	0.15	100754	1300003	9881532caa0f0264	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n3/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	4	0	0.05	0.15	100754	1300004	893d1a975785a83f	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n4/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	5	0	0.05	0.15	100754	1300005	0d962261676b405b	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n5/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	6	0	0.05	0.15	100754	1300006	dc96e7abbe446794	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n6/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	7	0	0.05	0.15	100754	1300007	bced30185b5c71e0	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n7/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	8	0	0.05	0.15	100754	1300008	962f7fc7911de610	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n8/base
77e745c37b0f	worker1	OvenRack/out-left	1	4	9	0	0.05	0.15	100754	1300009	de35e286218aead5	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j4/n9/base
